"","StateLabel","childBearingYear","byear","Married","Age","Sex","ChildrenNum","Educ","LiveParents","Employment","WomenSameRightMen","MenJobs","FinacialSatisfaction","HousewifeFulfilling","menBeterLeader","UniversityBoy","preSchoolMother","womenJobIndependen","womenEarnMore","menBetterExec","State","StateCode","townSize","sexratio","rural_male","rural_female","urban_male","urban_female","sexRatioRural","sexRatioUrban","childSexRatio2011","childSexRatio2001"
"38","AP",1993,1973,1,39,2,2,6,0,5,9,3,3,2,4,4,2,3,3,3,"Andhra Pradesh",28,1,1.04869336115707,659517,610683,301342,305561,1.07996620177735,0.986192609658955,1.06044538706257,1.04058272632674
"39","AP",2002,1982,1,30,2,2,4,0,3,9,2,5,1,3,1,4,1,3,4,"Andhra Pradesh",28,1,1.04856229496052,508816,487956,241337,227455,1.04274975612555,1.06103185245433,1.06044538706257,1.04058272632674
"40","AP",1985,1965,1,47,2,2,-3,0,5,9,2,6,1,4,4,1,1,3,3,"Andhra Pradesh",28,1,0.98766571538446,467285,460748,264679,280357,1.01418779897037,0.944078442842519,1.06044538706257,1.04058272632674
"41","AP",1966,1946,1,66,1,3,1,1,3,9,2,5,1,4,4,2,1,3,4,"Andhra Pradesh",28,1,1.01877701191509,718292,705817,305693,299295,1.0176745530357,1.02137690238728,1.06044538706257,1.04058272632674
"42","AP",2007,1987,6,25,1,-2,8,1,1,9,1,7,1,4,3,2,1,2,2,"Andhra Pradesh",28,1,1.07098221210615,457049,428253,219574,203525,1.06724062645212,1.07885517749662,1.06044538706257,1.04058272632674
"43","AP",2009,1989,6,23,1,-2,8,1,1,10,2,6,2,4,3,4,1,3,3,"Andhra Pradesh",28,1,1.05354365194541,404921,385252,201268,190129,1.05105489393955,1.05858653861326,1.06044538706257,1.04058272632674
"44","AP",1988,1968,1,24,2,1,6,1,1,9,2,6,2,3,3,4,1,3,3,"Andhra Pradesh",28,1,1.05838748733661,471114,421185,257064,266822,1.11854410769614,0.963428802722414,1.06044538706257,1.04058272632674
"45","AP",1998,1978,1,34,2,2,4,1,1,7,3,4,1,3,4,2,1,2,-1,"Andhra Pradesh",28,1,1.04263023184818,552120,527710,257302,248617,1.04625646661992,1.03493325074311,1.06044538706257,1.04058272632674
"46","AP",1965,1945,1,67,1,3,1,0,4,7,2,5,1,2,2,2,1,1,3,"Andhra Pradesh",28,1,1.0691297927036,243434,232537,147504,133123,1.0468613596976,1.10802791403439,1.06044538706257,1.04058272632674
"47","AP",1986,1966,1,46,2,0,2,0,3,10,2,6,1,2,3,2,1,1,3,"Andhra Pradesh",28,1,0.903529610140996,752957,813998,340153,395824,0.925010872262585,0.85935415740329,1.06044538706257,1.04058272632674
"48","AP",2001,1981,1,31,1,1,5,1,3,8,1,5,2,3,3,1,1,3,3,"Andhra Pradesh",28,1,1.06879486086985,618712,579864,294368,274444,1.06699501952182,1.07259768841731,1.06044538706257,1.04058272632674
"49","AP",2007,1987,6,25,2,0,8,1,1,6,1,6,2,2,4,2,2,3,2,"Andhra Pradesh",28,1,1.07098221210615,457049,428253,219574,203525,1.06724062645212,1.07885517749662,1.06044538706257,1.04058272632674
"50","AP",2003,1983,1,29,2,1,4,1,1,8,1,4,2,4,3,4,2,3,4,"Andhra Pradesh",28,1,1.04881544026969,527460,504390,238814,226219,1.04573841670136,1.05567613684085,1.06044538706257,1.04058272632674
"51","AP",2007,1987,1,25,2,0,8,1,1,2,2,8,3,3,3,-1,3,2,1,"Andhra Pradesh",28,1,1.07098221210615,457049,428253,219574,203525,1.06724062645212,1.07885517749662,1.06044538706257,1.04058272632674
"52","AP",2007,1987,6,25,1,-2,8,1,1,9,2,6,2,4,3,4,1,3,3,"Andhra Pradesh",28,1,1.07098221210615,457049,428253,219574,203525,1.06724062645212,1.07885517749662,1.06044538706257,1.04058272632674
"53","AP",1999,1979,1,33,1,1,6,1,1,2,2,8,4,3,1,-1,1,3,-1,"Andhra Pradesh",28,1,1.05297913466556,591236,558680,268393,257698,1.05827307224171,1.04150206831252,1.06044538706257,1.04058272632674
"54","AP",1966,1946,1,66,2,2,-3,0,5,10,2,7,1,2,3,2,1,1,4,"Andhra Pradesh",28,1,1.01877701191509,718292,705817,305693,299295,1.0176745530357,1.02137690238728,1.06044538706257,1.04058272632674
"55","AP",2004,1984,1,28,1,0,8,1,1,10,3,5,1,2,3,2,1,1,2,"Andhra Pradesh",28,1,1.06379060970182,519134,489249,245774,229791,1.06108341560228,1.06955450822704,1.06044538706257,1.04058272632674
"56","AP",2004,1984,1,28,1,1,4,0,3,10,3,5,1,2,3,2,1,2,2,"Andhra Pradesh",28,1,1.06379060970182,519134,489249,245774,229791,1.06108341560228,1.06955450822704,1.06044538706257,1.04058272632674
"57","AP",2006,1986,1,26,1,1,4,1,8,10,1,4,1,2,3,4,2,2,2,"Andhra Pradesh",28,1,1.06960913703397,505368,472743,239434,223588,1.06901212709654,1.0708714242267,1.06044538706257,1.04058272632674
"58","AP",2004,1984,6,28,1,-2,8,1,1,8,1,8,-1,1,2,-1,1,-1,2,"Andhra Pradesh",28,1,1.06379060970182,519134,489249,245774,229791,1.06108341560228,1.06955450822704,1.06044538706257,1.04058272632674
"59","AP",2003,1983,1,27,2,2,2,-2,4,5,2,9,3,3,3,2,3,2,1,"Andhra Pradesh",28,1,1.04881544026969,527460,504390,238814,226219,1.04573841670136,1.05567613684085,1.06044538706257,1.04058272632674
"60","AP",2009,1989,6,23,1,-2,8,1,1,9,2,5,2,2,3,4,1,2,2,"Andhra Pradesh",28,1,1.05354365194541,404921,385252,201268,190129,1.05105489393955,1.05858653861326,1.06044538706257,1.04058272632674
"61","AP",1993,1973,1,39,1,3,-3,0,8,1,3,2,3,2,2,3,2,2,3,"Andhra Pradesh",28,3,1.04869336115707,659517,610683,301342,305561,1.07996620177735,0.986192609658955,1.06044538706257,1.04058272632674
"62","AP",2002,1982,1,30,1,2,-3,1,3,10,3,3,4,1,2,3,2,1,4,"Andhra Pradesh",28,3,1.04856229496052,508816,487956,241337,227455,1.04274975612555,1.06103185245433,1.06044538706257,1.04058272632674
"63","AP",1961,1941,1,72,1,6,3,0,4,10,1,10,3,3,4,4,1,1,3,"Andhra Pradesh",28,3,1.00461650011721,660651,652974,260728,264171,1.01175697654118,0.986966775308418,1.06044538706257,1.04058272632674
"64","AP",1987,1967,1,45,1,4,6,0,3,10,3,5,2,2,2,2,2,1,2,"Andhra Pradesh",28,1,0.981047257315013,476446,466862,267955,291920,1.02052855019256,0.91790559057276,1.06044538706257,1.04058272632674
